brand,series,name,feel,silent,force,force_plus_minus,pre_travel,pre_travel_plus_minus,travel_distance,spring,life,profile,rgb,prelubed,pins,image_src
Gateron,G Pro,Black,Linear,False,60,15,2.0,0.6,4.0,Spring steel,60,Normal,True,,3,
Gateron,G Pro,Red,Linear,False,45,15,2.0,0.6,4.0,Spring steel,60,Normal,True,,3,
Gateron,G Pro,Brown,Tactile,False,55,15,2.0,0.6,4.0,Spring steel,60,Normal,True,,3,
Gateron,G Pro,Blue,Clicky,False,60,15,2.3,0.6,4.0,Spring steel,50,Normal,True,,3,
Gateron,G Pro,Yellow,Linear,False,50,15,2.0,0.6,4.0,Spring steel,60,Normal,True,,3,
Gateron,G Pro,White,Linear,False,38,15,2.0,0.6,4.0,Double-stage spring,60,Normal,True,,3,
Gateron,G Pro,Silver,Linear,False,45,15,1.2,0.3,3.4,Double-stage spring,80,Normal,True,,3,
Gateron,G Pro,Green,Clicky,False,80,15,2.3,0.6,4.0,Spring steel,,Normal,True,,3,
Gateron,G Pro 2.0,Black,Linear,False,60,15,2.0,0.6,4.0,Spring steel,80,Normal,True,True,3,
Gateron,G Pro 2.0,Red,Linear,False,45,15,2.0,0.6,4.0,Spring steel,80,Normal,True,True,3,
Gateron,G Pro 2.0,Brown,Tactile,False,55,15,2.0,0.6,4.0,Spring steel,80,Normal,True,True,3,
Gateron,G Pro 2.0,Blue,Clicky,False,60,15,2.3,0.6,4.0,Spring steel,80,Normal,True,,3,
Gateron,G Pro 2.0,Yellow,Linear,False,50,15,2.0,0.6,4.0,Spring steel,80,Normal,True,True,3,
Gateron,G Pro 2.0,White,Linear,False,38,15,2.0,0.6,4.0,Double-stage spring,80,Normal,True,True,3,
Gateron,G Pro 2.0,Silver,Linear,False,45,15,1.2,0.3,3.4,Double-stage spring,80,Normal,True,True,3,
Gateron,G Pro 3.0,Red,Linear,False,45,15,2.0,0.6,4.0,Spring steel,100,Normal,True,True,3,
Gateron,G Pro 3.0,Blue,Clicky,False,60,15,2.3,0.6,4.0,Spring steel,80,Normal,True,,3,
Gateron,G Pro 3.0,Brown,Tactile,False,55,15,2.0,0.6,4.0,Spring steel,100,Normal,True,True,3,
Gateron,G Pro 3.0,Black,Linear,False,60,15,2.0,0.6,4.0,Spring steel,100,Normal,True,True,3,
Gateron,G Pro 3.0,Yellow,Linear,False,50,15,2.0,0.6,4.0,Spring steel,100,Normal,True,True,3,
Gateron,G Pro 3.0,White,Linear,False,38,15,2.0,0.6,4.0,Double-stage spring,100,Normal,True,True,3,
Gateron,G Pro 3.0,Silver,Linear,False,45,15,1.2,0.3,3.4,Double-stage spring,100,Normal,True,True,3,